REF_DATE,GEO,DGUID,Age,Gender,Statistics,Total,Non_Immigrants,Immigrants,Recent_Immigrants_2016_2021,Non_Permanent_Residents
2021,"Gander (CA), N.L.",2021S0504011,0 to 14 years,Women+,2021 Counts,960.0,935.0,15.0,0.0,0.0
2021,"Gander (CA), N.L.",2021S0504011,15 years and over,Total - Gender,2021 Counts,11060.0,10725.0,270.0,120.0,70.0
2021,"Gander (CA), N.L.",2021S0504011,15 years and over,Men+,2021 Counts,5370.0,5170.0,150.0,80.0,50.0
2021,"Gander (CA), N.L.",2021S0504011,15 years and over,Women+,2021 Counts,5695.0,5550.0,120.0,45.0,20.0
2021,"Gander (CA), N.L.",2021S0504011,15 to 24 years,Total - Gender,2021 Counts,1470.0,1385.0,50.0,40.0,30.0
2021,"Gander (CA), N.L.",2021S0504011,15 to 24 years,Men+,2021 Counts,740.0,685.0,35.0,35.0,25.0
2021,"Gander (CA), N.L.",2021S0504011,15 to 24 years,Women+,2021 Counts,725.0,700.0,20.0,10.0,10.0
2021,"Gander (CA), N.L.",2021S0504011,15 to 19 years,Total - Gender,2021 Counts,825.0,800.0,25.0,15.0,0.0
2021,"Gander (CA), N.L.",2021S0504011,15 to 19 years,Men+,2021 Counts,435.0,415.0,15.0,15.0,0.0
2021,"Gander (CA), N.L.",2021S0504011,15 to 19 years,Women+,2021 Counts,395.0,385.0,10.0,0.0,0.0
2021,"Gander (CA), N.L.",2021S0504011,20 to 24 years,Total - Gender,2021 Counts,640.0,585.0,30.0,30.0,25.0
2021,"Gander (CA), N.L.",2021S0504011,20 to 24 years,Men+,2021 Counts,310.0,270.0,25.0,15.0,25.0
2021,"Gander (CA), N.L.",2021S0504011,20 to 24 years,Women+,2021 Counts,335.0,315.0,10.0,10.0,10.0
2021,"Gander (CA), N.L.",2021S0504011,25 to 64 years,Total - Gender,2021 Counts,7060.0,6840.0,185.0,80.0,40.0
2021,"Gander (CA), N.L.",2021S0504011,25 to 64 years,Men+,2021 Counts,3455.0,3325.0,105.0,50.0,25.0
2021,"Gander (CA), N.L.",2021S0504011,25 to 64 years,Women+,2021 Counts,3610.0,3510.0,85.0,30.0,15.0
2021,"Gander (CA), N.L.",2021S0504011,25 to 54 years,Total - Gender,2021 Counts,5135.0,4940.0,150.0,80.0,40.0
2021,"Gander (CA), N.L.",2021S0504011,25 to 54 years,Men+,2021 Counts,2465.0,2350.0,85.0,50.0,25.0
2021,"Gander (CA), N.L.",2021S0504011,25 to 54 years,Women+,2021 Counts,2670.0,2590.0,65.0,30.0,15.0
2021,"Gander (CA), N.L.",2021S0504011,25 to 34 years,Total - Gender,2021 Counts,1425.0,1365.0,30.0,25.0,30.0
2021,"Gander (CA), N.L.",2021S0504011,25 to 34 years,Men+,2021 Counts,715.0,685.0,15.0,10.0,20.0
2021,"Gander (CA), N.L.",2021S0504011,25 to 34 years,Women+,2021 Counts,715.0,685.0,15.0,10.0,10.0
2021,"Gander (CA), N.L.",2021S0504011,35 to 44 years,Total - Gender,2021 Counts,1620.0,1540.0,65.0,30.0,10.0
2021,"Gander (CA), N.L.",2021S0504011,35 to 44 years,Men+,2021 Counts,785.0,735.0,40.0,15.0,10.0
2021,"Gander (CA), N.L.",2021S0504011,35 to 44 years,Women+,2021 Counts,835.0,805.0,25.0,10.0,0.0
2021,"Gander (CA), N.L.",2021S0504011,45 to 54 years,Total - Gender,2021 Counts,2090.0,2035.0,50.0,30.0,0.0
2021,"Gander (CA), N.L.",2021S0504011,45 to 54 years,Men+,2021 Counts,965.0,930.0,30.0,15.0,0.0
2021,"Gander (CA), N.L.",2021S0504011,45 to 54 years,Women+,2021 Counts,1125.0,1100.0,25.0,15.0,0.0
