Locality,Province,Average Unmployment Rate (2021),DGUID,REF_DATE,Geography,English and French,English only,French only,Neither English nor French,Total - Knowledge of official languages,GEO,Coordinate,"Population and dwelling counts (13): Land area in square kilometres, 2021 [10]",GEO_LEVEL,CENSUS_YEAR,GEO_NAME,0 to 14 years,15 to 64 years,65 years and over,"Land area in square kilometres, 2021","National population rank, 2021","Population density per square kilometre, 2021","Population percentage change, 2016 to 2021","Population, 2016","Population, 2021","Private dwellings occupied by usual residents percentage change, 2016 to 2021","Private dwellings occupied by usual residents, 2016","Private dwellings occupied by usual residents, 2021","Province/territory population rank, 2021","Total private dwellings percentage change, 2016 to 2021","Total private dwellings, 2016","Total private dwellings, 2021",Age,Gender,Statistics,Total - Minority,Total Minority Population,South Asian,Chinese,Black,Filipino,Arab,Latin American,Southeast Asian,West Asian,Korean,Japanese,"Minority, n.i.e",Multiple Minorities,Not Minority,Total,Non_Immigrants,Immigrants,Recent_Immigrants_2016_2021,Non_Permanent_Residents
Canada,Canada,7.73,2021A000011124,2021.0,Canada,6581680.0,25261655.0,4087895.0,689730.0,36620955.0,Canada,1.0,8788702.8,,,,,,,8788702.8,,4.2,5.2,35151728.0,36991981.0,6.4,14072079.0,14978941.0,,5.7,15412443.0,16284235.0,Total - Age,Total - Gender,% distribution (2021),100.0,26.5,7.1,4.7,4.3,2.6,1.9,1.6,1.1,1.0,0.6,0.3,0.5,0.9,73.5,2161145.0,1708025.0,300640.0,73105.0,152475.0
Canada,Canada,7.73,2021A000011124,2021.0,Canada,6581680.0,25261655.0,4087895.0,689730.0,36620955.0,Canada,1.0,8788702.8,,,,,,,8788702.8,,4.2,5.2,35151728.0,36991981.0,6.4,14072079.0,14978941.0,,5.7,15412443.0,16284235.0,Total - Age,Total - Gender,% distribution (2021),100.0,26.5,7.1,4.7,4.3,2.6,1.9,1.6,1.1,1.0,0.6,0.3,0.5,0.9,73.5,2019910.0,1612000.0,284540.0,71845.0,123375.0
Canada,Canada,7.73,2021A000011124,2021.0,Canada,6581680.0,25261655.0,4087895.0,689730.0,36620955.0,Canada,1.0,8788702.8,,,,,,,8788702.8,,4.2,5.2,35151728.0,36991981.0,6.4,14072079.0,14978941.0,,5.7,15412443.0,16284235.0,Total - Age,Total - Gender,% distribution (2021),100.0,26.5,7.1,4.7,4.3,2.6,1.9,1.6,1.1,1.0,0.6,0.3,0.5,0.9,73.5,2003200.0,1690055.0,258740.0,71570.0,54405.0
Canada,Canada,7.73,2021A000011124,2021.0,Canada,6581680.0,25261655.0,4087895.0,689730.0,36620955.0,Canada,1.0,8788702.8,,,,,,,8788702.8,,4.2,5.2,35151728.0,36991981.0,6.4,14072079.0,14978941.0,,5.7,15412443.0,16284235.0,Total - Age,Total - Gender,% distribution (2021),100.0,26.5,7.1,4.7,4.3,2.6,1.9,1.6,1.1,1.0,0.6,0.3,0.5,0.9,73.5,1036235.0,873670.0,134225.0,37460.0,28345.0
Canada,Canada,7.73,2021A000011124,2021.0,Canada,6581680.0,25261655.0,4087895.0,689730.0,36620955.0,Canada,1.0,8788702.8,,,,,,,8788702.8,,4.2,5.2,35151728.0,36991981.0,6.4,14072079.0,14978941.0,,5.7,15412443.0,16284235.0,Total - Age,Total - Gender,% distribution (2021),100.0,26.5,7.1,4.7,4.3,2.6,1.9,1.6,1.1,1.0,0.6,0.3,0.5,0.9,73.5,966960.0,816380.0,124520.0,34115.0,26060.0
Canada,Canada,7.73,2021A000011124,2021.0,Canada,6581680.0,25261655.0,4087895.0,689730.0,36620955.0,Canada,1.0,8788702.8,,,,,,,8788702.8,,4.2,5.2,35151728.0,36991981.0,6.4,14072079.0,14978941.0,,5.7,15412443.0,16284235.0,Total - Age,Total - Gender,% distribution (2021),100.0,26.5,7.1,4.7,4.3,2.6,1.9,1.6,1.1,1.0,0.6,0.3,0.5,0.9,73.5,2177860.0,1629970.0,326440.0,73380.0,221445.0
Canada,Canada,7.73,2021A000011124,2021.0,Canada,6581680.0,25261655.0,4087895.0,689730.0,36620955.0,Canada,1.0,8788702.8,,,,,,,8788702.8,,4.2,5.2,35151728.0,36991981.0,6.4,14072079.0,14978941.0,,5.7,15412443.0,16284235.0,Total - Age,Total - Gender,% distribution (2021),100.0,26.5,7.1,4.7,4.3,2.6,1.9,1.6,1.1,1.0,0.6,0.3,0.5,0.9,73.5,1124910.0,834355.0,166420.0,35640.0,124135.0
Canada,Canada,7.73,2021A000011124,2021.0,Canada,6581680.0,25261655.0,4087895.0,689730.0,36620955.0,Canada,1.0,8788702.8,,,,,,,8788702.8,,4.2,5.2,35151728.0,36991981.0,6.4,14072079.0,14978941.0,,5.7,15412443.0,16284235.0,Total - Age,Total - Gender,% distribution (2021),100.0,26.5,7.1,4.7,4.3,2.6,1.9,1.6,1.1,1.0,0.6,0.3,0.5,0.9,73.5,1052945.0,795615.0,160025.0,37735.0,97315.0
Canada,Canada,7.73,2021A000011124,2021.0,Canada,6581680.0,25261655.0,4087895.0,689730.0,36620955.0,Canada,1.0,8788702.8,,,,,,,8788702.8,,4.2,5.2,35151728.0,36991981.0,6.4,14072079.0,14978941.0,,5.7,15412443.0,16284235.0,Total - Age,Total - Gender,% distribution (2021),100.0,26.5,7.1,4.7,4.3,2.6,1.9,1.6,1.1,1.0,0.6,0.3,0.5,0.9,73.5,19568260.0,13592395.0,5423900.0,901075.0,551960.0
Canada,Canada,7.73,2021A000011124,2021.0,Canada,6581680.0,25261655.0,4087895.0,689730.0,36620955.0,Canada,1.0,8788702.8,,,,,,,8788702.8,,4.2,5.2,35151728.0,36991981.0,6.4,14072079.0,14978941.0,,5.7,15412443.0,16284235.0,Total - Age,Total - Gender,% distribution (2021),100.0,26.5,7.1,4.7,4.3,2.6,1.9,1.6,1.1,1.0,0.6,0.3,0.5,0.9,73.5,9620335.0,6759770.0,2563290.0,430995.0,297275.0
