DGUID,GEO_LEVEL,CENSUS_YEAR,GEO_NAME,  0 to 14 years,  15 to 64 years,  65 years and over
2021A00053558004,Census subdivision,2021,Thunder Bay,15410,68815,22420
2021A00053560010,Census subdivision,2021,Kenora,2295,9305,3015
2021A00054602041,Census subdivision,2021,Hanover,5010,10705,1420
2021A00054602044,Census subdivision,2021,Steinbach,3785,10885,2900
2021A00054602069,Census subdivision,2021,Taché,2800,7810,1270
2021A00054603050,Census subdivision,2021,Winkler,3095,8435,2030
2021A00054607062,Census subdivision,2021,Brandon,9395,32900,7550
2021A00054609029,Census subdivision,2021,Portage la Prairie,2475,7945,2410
2021A00054611040,Census subdivision,2021,Winnipeg,124110,493755,118800
2021A00054612047,Census subdivision,2021,Springfield,2990,10175,2580
2021A00054613043,Census subdivision,2021,St. Andrews,1715,7600,2235
2021A00054613047,Census subdivision,2021,Selkirk,1650,6085,2200
2021A00054613056,Census subdivision,2021,St. Clements,1710,7465,2225
2021A00054622026,Census subdivision,2021,Thompson,3360,8590,930
2021A00054701024,Census subdivision,2021,Estevan,2040,7005,1580
2021A00054702047,Census subdivision,2021,Weyburn,2035,6610,1950
2021A00054706027,Census subdivision,2021,Regina,42560,147675,32840
2021A00054707039,Census subdivision,2021,Moose Jaw,5960,20445,6540
2021A00054708004,Census subdivision,2021,Swift Current,2765,10185,3185
2021A00054709012,Census subdivision,2021,Yorkton,2935,9850,3135
2021A00054711066,Census subdivision,2021,Saskatoon,48440,175030,37480
2021A00054711068,Census subdivision,2021,Warman,3280,7640,1255
2021A00054711070,Census subdivision,2021,Martensville,2735,7040,750
2021A00054715066,Census subdivision,2021,Prince Albert,8130,22510,5470
2021A00054716029,Census subdivision,2021,North Battleford,2730,8440,2320
2021A00054717029,Census subdivision,2021,Lloydminster (Part),2810,8165,785
2021A00054801006,Census subdivision,2021,Medicine Hat,10605,39060,12165
2021A00054802011,Census subdivision,2021,Lethbridge County,2490,5460,1150
2021A00054802012,Census subdivision,2021,Lethbridge,17055,62990,16230
2021A00054802034,Census subdivision,2021,Brooks,3410,9800,1435
2021A00054805018,Census subdivision,2021,Strathmore,2830,8925,2355
2021A00054806001,Census subdivision,2021,Foothills County,3590,14495,4590
2021A00054806006,Census subdivision,2021,High River,2450,8330,3330
2021A00054806012,Census subdivision,2021,Okotoks,6575,19330,4120
2021A00054806014,Census subdivision,2021,Rocky View County,7020,26425,7015
2021A00054806016,Census subdivision,2021,Calgary,235540,888975,167255
2021A00054806017,Census subdivision,2021,Chestermere,5035,14825,2290
2021A00054806019,Census subdivision,2021,Cochrane,6835,20105,4525
2021A00054806021,Census subdivision,2021,Airdrie,18250,48930,6615
2021A00054806028,Census subdivision,2021,Mountain View County,2270,7885,2610
2021A00054808001,Census subdivision,2021,Red Deer County,3190,11865,3710
2021A00054808011,Census subdivision,2021,Red Deer,18330,65720,13995
2021A00054808012,Census subdivision,2021,Sylvan Lake,3450,10820,1685
2021A00054808022,Census subdivision,2021,Lacombe County,1815,6150,1970
2021A00054808029,Census subdivision,2021,Blackfalds,2790,7040,645
2021A00054808031,Census subdivision,2021,Lacombe,2635,8205,2230
2021A00054809002,Census subdivision,2021,Clearwater County,2085,7340,2335
2021A00054810011,Census subdivision,2021,Camrose,3175,10950,4065
2021A00054810039,Census subdivision,2021,Lloydminster (Part),4170,12745,2315
2021A00054811001,Census subdivision,2021,Wetaskiwin County No. 10,1800,6670,2495
2021A00054811002,Census subdivision,2021,Wetaskiwin,2285,7500,2325
2021A00054811012,Census subdivision,2021,Leduc County,2630,9255,2455
2021A00054811013,Census subdivision,2021,Beaumont,5325,13615,1910
2021A00054811016,Census subdivision,2021,Leduc,7435,21795,4435
2021A00054811034,Census subdivision,2021,Parkland County,5690,20495,5830
2021A00054811048,Census subdivision,2021,Stony Plain,3385,10670,3305
2021A00054811049,Census subdivision,2021,Spruce Grove,8140,24660,4665
2021A00054811052,Census subdivision,2021,Strathcona County,17405,63960,16360
2021A00054811056,Census subdivision,2021,Fort Saskatchewan,5620,17590,3360
2021A00054811059,Census subdivision,2021,Sturgeon County,3725,12815,2990
2021A00054811061,Census subdivision,2021,Edmonton,183875,682840,129765
2021A00054811062,Census subdivision,2021,St. Albert,12265,42665,12010
2021A00054811068,Census subdivision,2021,Morinville,2420,6615,1100
2021A00054812002,Census subdivision,2021,Cold Lake,3565,10615,1160
2021A00054812004,Census subdivision,2021,Bonnyville No. 87,2640,8320,1730
2021A00054813001,Census subdivision,2021,Lac Ste. Anne County,1975,6675,2090
2021A00054814003,Census subdivision,2021,Yellowhead County,1945,6455,1960
2021A00054815023,Census subdivision,2021,Canmore,2040,10965,2520
2021A00054816037,Census subdivision,2021,Wood Buffalo,16535,52265,2980
